Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,Total
11 Jan 2024,111.7,227.0,237.9,65.3,17.4,50.1,29.4,10.6,1.0,(95.1),655.3
12 Jan 2024,386.0,195.3,17.4,39.8,28.4,0.0,20.2,0.0,0.0,(484.1),203.0
15 Jan 2024,-,-,-,-,-,-,-,-,-,-,0.0
16 Jan 2024,212.7,102.0,50.2,122.3,31.9,0.0,15.3,7.3,0.0,(594.4),(52.7)
17 Jan 2024,371.4,358.1,68.2,50.3,57.6,1.2,1.2,4.8,1.6,(460.6),453.8
18 Jan 2024,145.5,177.9,20.1,41.8,58.8,0.0,9.3,2.3,0.0,(582.3),(126.6)
19 Jan 2024,201.5,222.3,56.7,62.6,63.4,0.0,10.4,14.2,2.9,(590.4),43.6
22 Jan 2024,260.6,158.7,41.6,65.0,5.6,4.7,9.7,6.8,0.4,(640.5),(87.4)
23 Jan 2024,160.1,157.7,26.3,61.8,0.0,1.1,0.0,2.2,0.0,(515.3),(106.1)
24 Jan 2024,66.2,125.7,19.1,24.9,19.9,1.2,9.1,4.5,0.4,(429.3),(158.3)
25 Jan 2024,170.7,101.0,20.0,16.1,0.0,0.0,6.5,0.0,0.0,(394.1),(79.8)
26 Jan 2024,87.1,100.1,30.9,46.4,0.0,1.2,1.8,2.4,0.0,(255.1),14.8
29 Jan 2024,198.4,208.2,20.0,17.2,3.0,0.0,0.0,0.0,0.0,(191.7),255.1
30 Jan 2024,299.2,119.2,21.9,16.8,6.3,2.5,0.0,0.0,2.1,(220.7),247.3
31 Jan 2024,116.2,232.0,17.8,14.8,1.5,0.0,0.6,2.4,0.0,(187.7),197.6
01 Feb 2024,163.9,35.8,4.2,15.9,0.0,0.0,0.0,0.0,0.7,(182.0),38.5
02 Feb 2024,105.8,78.9,11.5,22.6,0.0,2.5,0.0,2.4,0.9,(144.6),80.0
05 Feb 2024,137.3,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,(107.9),68.1
06 Feb 2024,45.2,37.7,11.3,8.6,0.0,0.0,0.0,2.4,1.1,(72.7),33.6
07 Feb 2024,56.2,130.1,21.4,3.3,8.6,5.1,1.2,0.0,0.9,(80.8),146.0
08 Feb 2024,204.1,128.3,60.5,86.4,13.4,0.0,1.9,10.3,1.7,(101.6),405.0
09 Feb 2024,250.7,188.4,29.1,136.5,(17.4),1.4,1.4,2.7,0.5,(51.8),541.5
12 Feb 2024,374.7,151.9,33.0,40.0,(20.8),0.0,1.1,8.5,0.0,(95.0),493.4
13 Feb 2024,493.1,163.6,10.8,40.0,0.0,0.0,0.0,0.0,1.6,(72.8),636.3
14 Feb 2024,224.3,118.9,47.2,101.5,(37.5),9.0,1.0,2.9,3.6,(131.2),339.7
15 Feb 2024,330.9,97.4,120.2,88.9,1.3,3.0,7.4,2.9,0.0,(174.6),477.4
16 Feb 2024,191.4,116.7,20.9,140.0,1.0,0.0,7.9,0.0,2.8,(150.4),330.3
19 Feb 2024,-,-,-,-,-,-,-,-,-,-,0.0
20 Feb 2024,154.3,71.7,11.1,27.4,0.0,0.0,0.0,5.9,2.2,(137.0),135.6
21 Feb 2024,96.5,52.5,0.0,10.7,1.0,3.0,0.0,0.0,0.0,(199.3),(35.6)
22 Feb 2024,125.1,158.9,7.9,6.7,0.0,0.0,1.2,2.9,4.4,(55.7),251.4
23 Feb 2024,167.5,52.5,12.0,34.5,0.0,1.5,0.0,8.7,0.0,(44.2),232.5
26 Feb 2024,111.8,243.3,37.2,130.6,4.4,7.9,0.0,6.2,0.9,(22.4),519.9
27 Feb 2024,520.2,126.0,18.4,5.4,2.6,16.6,0.0,9.7,3.6,(125.6),576.9
28 Feb 2024,612.1,245.2,9.9,23.8,0.0,0.0,0.0,(3.4),2.2,(216.4),673.4
29 Feb 2024,603.9,44.8,21.7,9.9,(1.5),5.4,0.0,7.0,0.0,(598.9),92.3
01 Mar 2024,202.5,49.3,42.3,55.1,0.0,5.4,0.0,(1.8),0.0,(492.4),(139.6)
04 Mar 2024,420.1,404.6,90.9,38.2,(25.7),7.8,3.7,(5.7),(3.2),(368.0),562.7
05 Mar 2024,788.3,125.6,3.7,63.7,(14.2),3.6,0.0,3.5,6.6,(332.5),648.3
06 Mar 2024,281.7,205.7,28.6,41.3,3.0,5.8,40.7,0.0,1.4,(276.2),332.0
07 Mar 2024,244.2,473.4,41.4,42.1,0.0,0.0,41.8,1.9,2.5,(374.8),472.5
08 Mar 2024,336.3,130.3,8.0,1.7,(7.6),8.0,41.4,7.8,0.0,(302.9),223.0
11 Mar 2024,562.9,215.5,49.8,13.0,(9.7),0.0,43.4,118.8,5.8,(494.1),505.4
12 Mar 2024,849.0,51.6,24.6,93.0,(19.7),0.0,39.6,82.9,3.0,(79.0),"1,045.0"
13 Mar 2024,586.5,281.5,5.6,44.6,0.0,19.1,4.1,16.5,2.3,(276.5),683.7
Total,"12,027.8","6,703.3","1,431.3","1,970.5",175.0,167.1,351.3,350.5,54.6,"(11,402.6)","11,828.8"
Average,279.7,155.9,33.3,45.8,4.1,3.9,8.2,8.2,1.3,(265.2),275.1
Maximum,849.0,473.4,237.9,140.0,63.4,50.1,43.4,118.8,6.6,(22.4),"1,045.0"
Minimum,45.2,35.8,0.0,0.0,(37.5),0.0,0.0,(5.7),(3.2),(640.5),(158.3)
